,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
389,Iris × hollandica,"Dutch iris, Dutch hybrid group, fleur de lis",,Bulb,"1.5 to 2 feet tall, with a spread of 1/4 to 1/2 foot wide",Full sun,"Well-drained, moist","Mildly acidic, neutral, mildly alkaline",Spring,"Most commonly blue, bluish-purple, white, yellow",5 to 9 (USDA),Europe
390,Dicentra cucullaria,"Dutchman's breeches, staggerweed",Papaveraceae,Herbaceous perennial,"6–12 in. tall, 6–12 in. wide","Partial shade, full shade",Moist but well-drained,Neutral to acidic,Spring,"White, pale pink",3–7 (USDA),North America
391,Aristolochia macrophylla,"Dutchman's pipe vine, pipe vine",,Vine,"15–30 ft. tall, 15–20 ft. wide","Full, partial",Moist but well-drained,Neutral to acidic,Summer,"Yellow, green, purple",4–8 (USDA),North America
392,Picea glauca 'Conica',,Pinaceae,Evergreen conifer tree,"10 to 13 feet tall, 7- to 10-foot spread",Full sun,"Moist, well-drained soil",4.7 to 7.0 (acidic to neutral),Non-flowering,Non-flowering,3 to 8 (USDA),North America (Canada and the northern U.S.)
393,Betula nana,Dwarf Birch,,Deciduous shrub,Six to 48 inches tall and 18 to 36 inches wide,Full sun to part sun,"Well-drained clay, loam, or sand","Acid, alkaline, neutral",Spring,Yellowish brown,"2, 3, 4, 5, 6, 7","Alaska, northern Canada to Baffin Island, Labrador, and Greenland"
394,Diervilla lonicera ,"Northern bush honeysuckle, bush honeysuckle",Caprifoliaceae,Deciduous shrub,"2–3 ft. tall, 2–4 ft. wide","Full, partial","Fertile, well-drained",Slightly acidic to neutral (6.0 to 7.0),Summer,Yellow-orange,3–10 (USDA),North America
395,Prunus glandulosa,Dwarf flowering almond,,Deciduous shrub,3 to 4 feet wide and 4 to 5 feet tall,Full sun to part shade,"Rich, well-drained",5.5 to 7.5,April,Pink,4 to 8,"China, Japan"
396,Solanum lycopersicum ‘Early Girl’,Early Girl tomato,,"Annual, Perennial","6-9 ft. tall, 3-4 ft. wide",Full,"Loamy, moist but well-drained","Acidic, neutral","Spring, Summer, Fall",Yellow,"3-11, USA",Europe
397,Malus domestica,'Early Harvest' apple,Rosaceae,"Tree, fruit","10-25 ft. tall, 10-25 ft. wide",Full,Moist but well-drained,"Acidic, neutral","Spring, summer","White, pink",3–8 (USDA),North America
398,Lilium longiflorum,"Easter lily, trumpet lily, Bermuda lily",Liliaceae,"Perennial, bulb","2–3 ft. tall, 1 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral",Summer,"White, pink",4–8 (USA),Asia
399, Populus deltoides, Eastern Cottonwood,, Deciduous tree," 50 to 80 ft. tall, 50 to 80 ft. wide", Full sun," Average, Medium to Wet, Well-drained", Adaptable, March to April," Green (Female), Red (Male)", USDA zones 2-9, Eastern and central North America
400,Tsuga canadensis,Eastern or Canadian hemlock,,Evergreen conifer,70 ft. tall with a spread of 25 to 35 ft.,Full to partial shade; tolerates full sun in cold northern climates,Rich and moist,Acidic,,,,Eastern North America
401,Pinus strobus,Eastern white pine,Pinaceae,Tree,"50-80 ft. tall, 20-40 ft. wide","Full, partial","Moist, well-drained",Acidic,,,3-8 (USDA),North America
402,Echeveria,Echeveria,,Succulent,Varies,"Bright, direct light",Well-draining,6.0,Early spring to summer,Varies,,"Central America, Mexico, South America"
403,Echeveria peacockii ,Mexican peacock echeveria,,Succulent ,6 inches wide ,"Full, partial","Sandy, well-drained",Acidic ,"Spring, summer ",Pink ,"9b, 10a, 10b, 11a, 11b ",Mexico 
404,Leontopodium alpinum,Edelweiss,Asteraceae,Perennial,"6 to 12 inches tall, 8 inches wide",Full to partial sun,"Well-drained, gritty soil",Neutral,Late spring through summer,White,"4-7, USDA",Steppe region of Asia
405,Cyperus papyrus,"Papyrus, Egyptian papyrus, King Tut's grass",,"Perennial reed, sedge","5–8 feet tall, 3–4 feet wide",Full sun to part shade,Wet boggy soil,6.0 to 8.5 (acidic to alkaline),Mid- to late summer,Greenish-brown (flowers are insignificant),9–11 (USDA),Africa
406,Pentas lanceolata,Egyptian Star Cluster,,Perennial,24–36 inches,Full sun to partial shade,Fertile with good drainage,Mildly acidic,Summer,"Red, pink, lavender, or white",6–11,Africa
407,Inula helenium,"Elecampane, horse heal, elfdock",,Perennial herb,"3–6 feet tall, 2–3 feet wide",Full sun to part shade,Any well-drained soil,6.5–7.5 (neutral),Summer to fall,Yellow,3–7 (USDA),Eurasia; naturalized in North America
408,Portulacaria afra,"Dwarf jade, elephant bush, miniature jade, small-leaf jade",Didiereaceae,"Succulent evergreen shrub, houseplant",Up to 15 ft. tall as a native plant (but normally grown as a much smaller houseplant),"Full, partial","Cactus/succulent potting mix, or sandy, gravelly garden soil",Slightly acidic (5.6 to 6.5),Late spring to early summer (flowers are indistinct),"White, pink",9-11 (USDA),South Africa
409,Beaucarnea recurvata,"Ponytail palm, elephant's foot",,Broadleaf evergreen shrub/ tree,6 to 8 feet tall; 3- to 5-foot spread (up to 30 feet tall when planted outdoors),Full sun,"Sandy, well-draining soil",6.5 to 7.5 (neutral),Seasonal bloomer,Creamy white,10 to 11 (USDA); usually grown as a houseplant,Semi-desert areas of Central America
410,Euonymus fortunei 'Emerald Gaiety',,,Broadleaf evergreen,"3 to 5 feet in height, 3- to 6-foot spread",Full sun to part shade,"Medium-moisture, well-drained soil","Prefers alkaline conditions, ",June,Greenish white,5 to 8,China
411,Thuja occidentalis,"Emerald green arborvitae, Smaragd arborvitae, American arborvitae",Cupressaceae,Needled evergreen,"12–20 ft. tall, 3–10 ft. wide","Full sun, partial shade",Moist but well-drained,"Acidic, alkaline",Does not bloom,Does not bloom,2–7 (USDA),North America
412,Paulownia tomentosa,"Empress Tree, Royal Paulownia, Foxglove Tree",,Deciduous Tree,"30 to 40 ft. tall, 30 to 40 ft. wide",Full sun,Adaptable,Adaptable,April,Lavender,"5-8, USA",China
413,Hydrangea macrophylla Endless Summer,Endless Summer hydrangea ,Hydrangeaceae,Shrub ,"3-5 ft. tall, 3-5 ft. wide ",Partial sun,"Loamy, moist, well-drained ","Acidic, neutral, alkaline","Spring, summer ","Pink, purple. blue, red, white",4-9 (USDA),"Cultivar, no native range"
414,Hyacinthoides non-scripta,English Bluebells,,Perennial wildflower bulb,"12 in. tall, 3 to 8 in. wide",Part shade,"Clay, Chalk, Loam, Sand",Slightly acidic to slightly alkaline,Spring,Blue-purple,"4 - 9, USA",Europe (England)
415,Bellis perennis ,"English daisy, common daisy, lawn daisy",Asteraceae,"Herbaceous perennial, but a biennial in the southern US and an annual in the northern US","6–12 inches tall, 6–12 inches wide",Partial ,"Loamy, moist ","Acidic, neutral, alkaline ","Spring, summer","Red, white, pink",4–9 (USDA),Europe
416,Bellis perennis,"Common daisy, lawn daisy, English daisy",,Biennial,"3 - 6 in. tall, 3 - 9 in. wide",Full sun to partial shade,"Moist, well-draining","Acidic, neutral, alkaline",Spring to summer,"White, pink, red","4 to 8, USA",Europe
417,Crataegus laevigata,"English hawthorn, smooth hawthorn",Rosaceae,"Shrub, tree","6–25 ft. tall, 5–25 ft. wide",Full,"Well-drained, loamy","Acidic, neutral, alkaline","Spring, summer","White, pink, red",4–8 (USDA),"Europe, Africa"
418,Ilex aquifolium,"English Holly, Common Holly, European Holly",,Evergreen Tree or shrub,Up to 10 meters,Full sun / partial shade,"Tolerates a variety, but must be well-drained",Not particular,Summer,Blue/lilac shades,5 to 8,Himalayas region
419,Lavandula angustifolia,"English lavender, true lavender, common lavender",Lamiaceae (mint),Herbaceous flowering perennial,"2-3 ft. tall, 2-4 ft. wide",Full sun,"Sandy, gritty, dry to medium, well-drained ",Neutral (6.7 to 7.3),Midsummer,"Dark or light purple is most common, but hybrid colors also available in lavender, violet-blue, white, and pink",5-8 (USDA),Mediterranean
420,Quercus robur," English oak, truffle oak, pedunculate oak",Fagaceae,Tree,"40–60 ft. tall, 40–70 ft. wide ",Full ,"Loamy, moist, well-drained","Acidic, neutral, alkaline ",Spring ,Green,4–8 (USDA) ,"Africa, Asia, Europe "
421,Thymus vulgaris,"Thyme, Common Thyme, Garden Thyme, English Thyme",,Herbaceous perennial,,Full sun,"Loamy, sandy",Acidic to alkaline (6.0 to 8.0),,,5 to 9 (USDA),Mediterranean
422,Juglans regia,English Walnut,,Deciduous Tree,"40-60 ft. tall, 40-60 ft. wide",Full Sun,"moist, organically rich, well-drained",6.0-6.5,May to June,Yellow-Green,USDA 3-7,Europe to Central Asia
423,Artemisia dracunculus (Sativa subspecies),Estragon,,Perennial herb,24 inches,Part Sun/Part Shade,"Sandy, well-drained",Neutral (6.5 to 7.5),Summer,Light green leaves,4 and warmer,Temperate Europe and Asia
424,Eucalyptus cinerea,"Eucalyptus, silver dollar tree, argyle apple",Myrtaceae,Tree,,Full sun,Well-drained,Acidic to neutral (5.5 to 6.5),Rarely flowers,,8–11 (USDA),Australia
425,Euphorbia spp.,"Euphorbia, spurge",Euphorbiaceae,"Herbaceous, perennial, succulent","6–36 in. tall, 6–36 in. wide",Full,"Sandy, well-drained","Neutral, acidic","Spring, summer","Yellow, red, pink, white",5–11 (USDA),"Africa, Asia, North America, South America"
426,Citrus x limon 'Eureka',"Eureka lemon tree, 'Garey's Eureka'",Rutaceae,Evergreen tree,Up to 20 ft. tall,"Full sun, partial shade","Loamy, sandy, clay","Well-drained, moist",Spring,,9a-11b (USDA),California
427,Fraxinus excelsior,"European Ash, Common Ash",,Tree,70 to 80 Feet,Full Sun,"Moist, Well Drained, Loam",Adaptable,April to May,White,,"Europe, Caucaus"
428,Fagus sylvatica,,,Tree,"50–60 ft. tall, 35–50 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Spring ,Yellow-green,4–7 (USDA),Europe
429,Oenothera biennis,"Evening primrose, common evening primrose, fever plant, cure-all",Onagraceae,"Herbaceous, biennial","3–5 ft. tall, 2–3 ft. wide","Full, partial",Moist but well-drained,"Neutral, acidic","Summer, fall",Yellow,4-9 (USDA),North America
430, Calliandra eriophylla," Fairy duster, false mesquite", Fabaceae," Perennial, shrub","one to three feet tall, one to three feet wide", Full sun," Sandy, well-drained", 6.0 to 8.0, Spring, Pink," 7-11, USDA"," California, Arizona, New Mexico, Texas and Mexico"
431,Plerandra elegantissima,False aralia,,Perennial,,,,,,,,
432,Chamaecyparis,False cypress tree,,Evergreen,"6-70 ft. tall, 4-20 ft. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral",Not Applicable,Not Applicable,"4-8, USA","North America, Asia"
433,Veratrum viride,"False hellebore, corn lily, itchweed",,Herbaceous perennial,2 to 6 feet tall,Full sun to partial shade,"Rich, well-draining",Acidic to alkaline,Summer,"White, yellow, green",3 to 8,United States and Canada
434,Osmanthus fragrans,,Oleaceae,Broadleaf evergreen shrub or small tree,"20–30 ft. tall, 10–14 ft. wide","Full, partial",Well-drained,Acidic to neutral (5.0 to 7.5),"Spring, fall, intermittent",White or yellow,8–11 (USDA),Asia
435,Baptisia australis,"Blue Wild Indigo, False Indigo",Fabaceae,Perennial,"4–5 ft. tall, 3–4 ft. wide","Full, partial","Moderately moist, well-draining","Slightly acidic, neutral (5.0-6.8)",Late spring to early summer,Blue,3–9 (USDA),North America (Eastern U.S.)
436,Heliopsis helianthoides,"False sunflower, oxeye sunflower",,Herbaceous perennial,3 to 6 feet tall and 2 to 3 feet wide,Full sun,"Average, dry to medium moisture, well-draining",6 to 8,June to August,Yellow-orange,3 to 9,North America
437,Scaevola aemula,"Fan flower, scaevola, fairy fan flower",Goodeniaceae,"Evergreen perennial/shrub, often grown as an annual","9–18 in. tall, 1–2 ft. wide","Full, partial","Average, well-drained",Acidic (5.5-6.0),Late spring to fall,"Blue, purple, white, pink",10–11 (USDA),Australia
438,Vicia faba,"Fava bean, faba bean, broad bean",Fabaceae,"Annual, vegetable",,Full to part sun,"Loamy, moist, well-drained","Acidic, neutral (6.2 to 6.8)","Spring, summer",,2–10 (USDA),"Asia, Mediterranean"
439,Calamagrostis x acutiflora,,Poaceae,Perennial,"3–5 ft. tall, 1.5–2.5 ft. wide",Full,"Rich, moist","Acidic, neutral, alkaline","Summer, fall",Pinkish-purple,4a-11a USDA,"Europe, Asia"
440,Foeniculum vulgare,"Fennel, sweet fennel, common fennel",Apiaceae,"Perennial, herb",,Full sun,"Moist, well-drained",Acidic (5.5–6.8),Summer,,4–9 (USDA),Mediterranean
441,Ficus benghalensis ,"Ficus Audrey, banyan tree, strangler fig ",Moraceae ,Tree ,"5-10 ft. indoors, 65-100 ft. outdoors ",Partial ,Moist but well-drained ,Acidic ,,,"9-11, US ",Asia
442,Ficus elastica 'Tineke',"Ficus Tineke, Variegated rubber tree",Moraceae,"Tree, Perennial","30 feet tall outdoors, 2–10 feet tall indoors",Partial sun,Well-drained,"Acidic, Neutral",Rarely blooms indoor,N/a,10-12 (USDA),Asia
443,Ficus lyrata,"Fiddle-leaf fig, banjo fig",Moraceae ,Broadleaf evergreen,"50 ft. tall (outdoors), 10 ft. tall (indoors)",Part shade,"Loamy, medium moisture, well-draining",6 to 7,Rarely flowers outside of its native area,Insignificant,10-12 (USDA),Tropical western Africa
444,Ficus benjamina,"Ficus tree, ficus, weeping ficus, fig tree, and weeping fig",Moraceae,Perennial,"Indoors 6 ft. high, 3 ft. wide, outdoors up to 70 ft. tall, 70 ft. wide",Filtered bright sun,"Indoors rich and fast-draining, outdoors loamy and well-draining",6.5 to 7,"Indoor plants do not bloom, outdoor plants bloom during spring",Small yellow or white blossoms,5 to 8 indoors; 9 to 11 outdoors,India and Southeast Asia
445,Hosta longipes f. hypoglauca X H. Crested Surf,Fire Island hosta,Asparagaceae,"Herbaceous, with a perennial life cycle","1 ft. high, 28 in. spread",Partial shade,"Evenly moist and well-drained, with average fertility",Neutral to slightly acidic,Mid-summer,Lavender,3 to 9 USDA,Northeast Asia
446,Hamelia patens,"Firebush, scarlet bush",,Herbaceous perennial,"3–15 ft. tall, 2–6 ft. wide","Full sun, partial shade",Well-drained,Neutral to acidic,"Summer, fall","Orange, orange-red, red",8–11 (USDA),"Mexico, Central America, South America"
447,Cuphea ignea,"Mexican Cigar Plant, Firecracker Plant",,"Perennial, Annual",Up to 25 in. tall,"Full Sun, Partial Shade","Moist, well-drained","Acid, Neutral, Alkaline","Spring, Summer, Fall",Red,"10 - 12, USA","Mexico, Jamaica"
448,Nandina domestica 'Firepower',"Firepower Nandina, heavenly bamboo, sacred bamboo",,"Broadleaf shrub; is evergreen in the American Southeast, where it is especially popular","1 to 2 feet in height, 1 to 2 feet in width",Full sun to partial shade,"Average fertility and moisture, well-drained",Acidic,Non-flowering variety,Non-flowering variety,6 to 9,Eastern Asia
449,Odontonema strictum,Crocodile fern,,Houseplant or perennial,2 to 5 feet tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,Late summer to early fall,Red,10 to 11,Southeast Asia and Australia
450,Pyracantha coccinea,Firethorn,Rosaceae,Shrub,"8-18 ft. tall, 8-20 ft. wide","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Summer,White,"6-9, USA","Europe, Asia"
451, Disocactus anguliger," Fishbone cactus, zig zag cactus, ricrac cactus, orchid cactus", Cactaceae, Cactus," 6 in. tall, 3 ft. long", Partial," Loamy, moist but well-drained", Acidic," Late summer, fall"," White, yellow"," 10a, 10b, 11a, 11b, 12a, 12b",North America
452,Fittonia albivenis,,Acanthaceae,Perennial,"3–6 in. tall, 12-18 in. spread",Partial,Moist but well-drained,Acidic,Summer,"White, red",11 (USDA),South America
453,Salix integra 'Flamingo',"Flamingo willow, Japanese flamingo willow, flamingo dappled willow",,Shrub ,"4 to 6 ft. tall, with a spread of 5 to 7 ft.","Full, partial",Moist but well-drained,Neutral to alkaline (5.6 to 7.8),Spring ,Yellow,"5, 6, 7",Asia
454,Linum usitatissimum,"Flax, common flax, linseed oil plant",Linaceae,"Annual, herb","2-3 ft. tall, 1 ft. wide",Full,"Sandy, loamy","Acidic, neutral, alkaline",Summer,Blue,2-11 (USDA),"Asia, Europe"
455,Lychnis chalcedonica,,,Herbaceous perennial,3-4 ft. tall; 1.5 ft. wide,Full,"Evenly moist, well-drained",Acidic to neutral,Early to mid-summer,"Red, white, or pink",,Eurasia
456,Malus spp. and cultivars,"Flowering crabapple, flowering crab",Rosaceae,Flowering fruit tree,"15–20 ft. tall, 12–20 ft. wide (occasionally larger)",Full,"Rich, loamy, well-drained",Acidic to neutral (5.5 to 6.5),Late spring,White to pink,4–8 (USDA),"North America, Europe, Asia"
457,"Zingiberaceae family, several genera and species","Flowering ginger, ornamental ginger, ginger",Zingiberaceae,"Herbaceous, perennial ","4-5 ft. tall, 1-2 ft. wide",Partial,"Moist, well-draining","Neutral, acidic",Summer,"Red, orange, yellow",7-10 (USDA),Asia
458,Nicotiana alata,,Solanaceae,"Perennial, herbaceous","3-5 ft. tall, 1-2 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral, alkaline","Summer, fall","Yellow, green, white, pink, red",10-11 (USDA),South America
459,Tiarella cordifolia,"Foamflower, Allegheny foamflower, False miterwort",,Perennial,"1-3 ft. tall, 6-12 in. wide","Partial, full",Loamy,Neutral to acidic,Spring,White with pink accents,3 to 8 (USDA),North America
460,Carex tumulicola,,,Semi-deciduous rhizomatous evergreen,One to two feet tall and two to three feet wide,Part shade to full shade,Adaptable,Acidic to neutral,Spring and summer,Brown or cream,"8, 9, 10",Western North America
461,Cercis canadensis 'Forest Pansy',Forest pansy redbud,,Deciduous tree,"20-30 ft. tall, 25-35 ft. wide",Full sun to partial shade,"Average, medium moisture, well-drained",Adaptable,April,Rosy Pink, USDA 5-9,Eastern and central North America
